id,tag,source,human_translation,context,speaker,listener,notes
stardewvalley_0131,1_6_Strings:DF_Mine_CalicoStatue_Name_6,Meager Meals,빈곤한 식사,content/DF_Mine_CalicoStatue_Name_6,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0132,1_6_Strings:DF_Mine_CalicoStatue_Name_7,More Monsters,더 많은 몬스터,content/DF_Mine_CalicoStatue_Name_7,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0133,1_6_Strings:DF_Mine_CalicoStatue_Name_8,Sharp Teeth,날카로운 이빨,content/DF_Mine_CalicoStatue_Name_8,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0134,1_6_Strings:DF_Mine_CalicoStatue_Name_9,Curse Of The Tomb,무덤의 저주,content/DF_Mine_CalicoStatue_Name_9,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0135,1_6_Strings:DF_Mine_Explanation,---Welcome to the Skull Cavern Challenge!---^^Calico Eggs and mysterious Calico Statues have appeared throughout the caverns.^,---해골 동굴 도전에 오신 것을 환영합니다!---^^동굴에 칼리코 달걀과 신비한 칼리코 조각상이 나타났습니다.^,content/DF_Mine_Explanation,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0136,1_6_Strings:DF_Mine_Explanation_2,"Your ""Egg Rating"" determines the likelihood of finding Calico Eggs.^^""Egg Rating"" increases every 5 levels down, as well as whenever you activate a Calico Statue.^","당신의 ""달걀 등급""이 높을수록 칼리코 달걀이 등장할 확률이 높아집니다.^^""달걀 등급""은 5층마다, 혹은 칼리코 조각상을 활성화하면 증가합니다.^",content/DF_Mine_Explanation_2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0137,1_6_Strings:DF_Mine_Explanation_3,"...But be careful! The Calico Statues will also invoke various strange and dangerous effects!^^Visit Gil to receive prizes for achieving a high ""Egg Rating"".^","...하지만 조심하세요! 칼리코 조각상은 기이하고 위험한 효과도 동반합니다!^^높은 ""달걀 등급""을 달성하면 길에게 보상을 받을 수 있습니다.^",content/DF_Mine_Explanation_3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0138,1_6_Strings:Decline,Decline,거절,content/Decline,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0139,1_6_Strings:DefenseEnchantment,+{0} Defense,방어력 +{0},content/DefenseEnchantment,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0140,1_6_Strings:DeluxeCheesePress_Description,This can process 3 jugs of milk at a time.,한 번에 우유 3통을 가공할 수 있습니다.,content/DeluxeCheesePress_Description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0141,1_6_Strings:DeluxeCheesePress_Name,Deluxe Cheese Press,디럭스 치즈 착제기,content/DeluxeCheesePress_Name,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0142,1_6_Strings:DeluxeCrabPot_description,This will catch more than a regular crab pot.,일반적인 통발보다 많이 잡습니다.,content/DeluxeCrabPot_description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0143,1_6_Strings:DeluxeCrabPot_name,Deluxe Crab Pot,디럭스 게잡이 통발,content/DeluxeCrabPot_name,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0144,1_6_Strings:DeluxeLoom_Description,This can process 3 pieces of wool at a time.,한 번에 양털 3개를 가공할 수 있습니다.,content/DeluxeLoom_Description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0145,1_6_Strings:DeluxeLoom_Name,Deluxe Loom,디럭스 물레,content/DeluxeLoom_Name,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0146,1_6_Strings:DeluxeMayoMachine_Description,This can process 3 eggs at a time.,한 번에 달걀 3개를 가공할 수 있습니다.,content/DeluxeMayoMachine_Description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0147,1_6_Strings:DeluxeMayoMachine_Name,Deluxe Mayonnaise Machine,디럭스 마요네즈 기계,content/DeluxeMayoMachine_Name,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0148,1_6_Strings:DesertFestival,Desert Festival,사막 축제,content/DesertFestival,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0149,1_6_Strings:DesertFestival_Abigail,I'm glad you fixed up the bus! This is really fun.$h#$e#I've always wanted to travel beyond Pelican Town.,네가 버스를 고쳐서 정말 다행이야! 이거 너무 재밌어.$h#$e#난 항상 펠리컨 마을 밖을 가보고 싶었거든.,content/DesertFestival_Abigail,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0150,1_6_Strings:DesertFestival_Abigail_marriage,"I was thinking of joining you in the skull caves, but then I saw the food stand...#$e#You go on ahead without me... just be careful!","나도 같이 해골 동굴에 가볼까 생각했는데, 음식 가판대 때문에...#$e#나 기다리지 말고 먼저 가... 꼭 조심하고!",content/DesertFestival_Abigail_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0151,1_6_Strings:DesertFestival_Alex,Have you seen the size of these Calico Eggs?#$b#Just imagine the protein...,칼리코 달걀 크기 봤어?#$b#단백질 함량을 상상해 봐...,content/DesertFestival_Alex,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0152,1_6_Strings:DesertFestival_Alex_marriage,Hey... you look really cute in the desert sun...$h,야... 사막 태양이 비추는 네 모습 정말 귀엽다...$h,content/DesertFestival_Alex_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0153,1_6_Strings:DesertFestival_Caroline,This weather is just perfect. I can't tell where my skin ends and the air begins.$h,날씨가 정말 완벽하네. 내 피부와 공기가 닿는 곳이 어디인지 구분이 안 갈 정도야.$h,content/DesertFestival_Caroline,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0154,1_6_Strings:DesertFestival_Clint,"Hey, @. To tell you the truth, I don't really like festivals.#$b#But I'd feel even worse if I stayed at home, knowing that everyone else was out here having fun.$s","저기, @. 솔직히 말할게, 난 축제 별로 안 좋아해.#$b#하지만 집에만 있으면 기분이 더 안 좋았을 거야, 다들 여기서 재밌게 놀고 있을 테니까.$s",content/DesertFestival_Clint,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0155,1_6_Strings:DesertFestival_Demetrius,Why do humans enjoy spicy food? It's counter-intuitive from a biological perspective.#$e#Unless there's something I'm missing...$5,인간은 왜 매운 음식을 즐기는 걸까? 생물학적 관점에선 직관과 반대인 행동인데.#$e#아니면 내가 뭔가 놓치고 있는 걸까...$5,content/DesertFestival_Demetrius,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0156,1_6_Strings:DesertFestival_Elliott,"*mumble* ...hmm, the toe-feel is milky, but with plenty of body. Still, a bit mellower than back home...#$b#Oh, pardon me! I've become something of a sand connoisseur.$h","*중얼중얼* ...흠, 발가락의 감촉은 우유 같지만 바디감은 풍부하네. 그러면서 집 쪽보단 그윽한 느낌이고...#$b#오, 이런 실례! 모래라면 내가 좀 전문가가 되어서 말이지.$h",content/DesertFestival_Elliott,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0157,1_6_Strings:DesertFestival_Elliott_marriage,"Well well well, what have we here? A beautiful desert rose!$h#$e#Make sure to stay watered, dear.","그래 그래 그래, 이게 뭘까? 아름다운 사막의 장미잖아!$h#$e#여보, 물 꼭 잘 챙겨 마셔요.",content/DesertFestival_Elliott_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0158,1_6_Strings:DesertFestival_Emily,Hmm... I'm sensing that your fashion doesn't quite match your inner feeling. Just step in the box and we'll fix you up!,흐음... 네 패션이 내적 감정과 연결되지 못했다는 게 느껴져. 박스 안에 들어오면 바로 고쳐줄게!,content/DesertFestival_Emily,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0159,1_6_Strings:DesertFestival_Emily2_marriage,"I've been having fun, but I'm so busy I haven't been able to do any chores at home. I hope you're doing okay!",오늘 재밌긴 한데 너무 바빠서 집안일을 하나도 못했어. 너도 좋은 시간 보내고 있길 바라!,content/DesertFestival_Emily2_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0160,1_6_Strings:DesertFestival_Emily3_marriage,I can't remember... did I feed the parrot this morning?,기억이 안 나... 내가 오늘 아침에 앵무새 모이 주고 나왔나?,content/DesertFestival_Emily3_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0161,1_6_Strings:DesertFestival_Emily_marriage,"Hey, @! I love you just the way you are... but if you want, you can step inside the box too!","있지, @! 난 너를 있는 그대로 사랑해... 하지만 네가 원한다면, 함께 이 상자 안에 들어와도 좋고!",content/DesertFestival_Emily_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0162,1_6_Strings:DesertFestival_Evelyn,"Ah... the sands of time, the sands of time...","아... 시간의 모래, 시간의 모래...",content/DesertFestival_Evelyn,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0163,1_6_Strings:DesertFestival_George,What is she mumbling about? I'm here for the spicy food tent!,뭐라고 중얼거리는 거지? 난 매운 음식만 많이 먹을 수 있다면 됐어!,content/DesertFestival_George,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0164,1_6_Strings:DesertFestival_Gus,Normally I provide all the food for town festivals. But not today! It's nice to be able to relax.$h,평소 마을 축제라면 내가 음식을 다 준비하거든. 하지만 오늘은 아니지! 그냥 이렇게 쉴 수 있는 것도 좋네.$h,content/DesertFestival_Gus,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0165,1_6_Strings:DesertFestival_Haley,"If you smell something good, it's the coconut oil I rubbed all over my skin.#$b#I'm going 'all in' with the desert feeling!$h",좋은 향기가 난다면 아마 내가 바른 코코넛오일 향기일 거야.#$b#사막 느낌 내려고 제대로 하고 있지!$h,content/DesertFestival_Haley,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0166,1_6_Strings:DesertFestival_Haley2,%Haley is glistening in the sunlight.,%헤일리가 햇빛을 받아 반짝이고 있습니다.,content/DesertFestival_Haley2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0167,1_6_Strings:DesertFestival_Haley2_marriage,%Your wife is taking a nap.,%당신의 아내는 낮잠을 자고 있습니다.,content/DesertFestival_Haley2_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0168,1_6_Strings:DesertFestival_Haley_marriage,Hey... looks like someone's got a nice tan going... *pinch*$h,오... 태닝 잘되고 있는 거 봐라... *꼬집*$h,content/DesertFestival_Haley_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0169,1_6_Strings:DesertFestival_Harvey,"Going into the caves can be really dangerous. I hope there are no accidents, but still... I'll be here all day just in case.#$e#As a doctor, I'd recommend minimizing your exposure to serpent-infested caverns! But ultimately, it's your choice.","동굴 탐험은 정말 위험한 일이지. 사고가 없긴 바라지만, 그래도... 혹시 모르니 오늘은 계속 여기 있어야겠어.#$e#의사로서 용이 가득한 동굴은 최대한 피하는 것을 추천해! 하지만 최종적으로는 네 선택이니까.",content/DesertFestival_Harvey,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0170,1_6_Strings:DesertFestival_Harvey_marriage,"Hey, @. I'll be working late during the festival, so don't wait up for me at night!#$e#Promise me you'll be careful in the skull caves.","저기, @. 나 오늘 축제 때문에 늦게까지 일할 거 같아서 밤에 기다리지 말고 먼저 자!#$e#해골 동굴 들어가면 꼭 조심하겠다고 약속하고.",content/DesertFestival_Harvey_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0171,1_6_Strings:DesertFestival_Jas,"This is fun, but I wish I had an ice cream...","재밌지만, 아이스크림이 먹고 싶어요...",content/DesertFestival_Jas,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0172,1_6_Strings:DesertFestival_Jodi,"Oh, don't mind me, I'm just doing a little shopping.#$e#If I don't browse the shops, I might miss the perfect decoration for our living room!","오, 난 신경 쓰지 말렴, 그냥 쇼핑 좀 하는 중이야.#$e#우리 거실에 딱 어울리는 장식을 놓치고 싶지 않거든!",content/DesertFestival_Jodi,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0173,1_6_Strings:DesertFestival_Kent,"Hey, @. Enjoying the heat?","안녕, @. 사막 열기는 즐길만해?",content/DesertFestival_Kent,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0174,1_6_Strings:DesertFestival_Leah,"I was just wondering... If I lived here, instead of Stardew Valley, would my art look different?","지금 생각해 보고 있었어... 내가 스타듀가 아닌 여기에 살았다면, 내 작품들이 다른 모습이었을까?",content/DesertFestival_Leah,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0175,1_6_Strings:DesertFestival_Leah_marriage,"I wanted to go swimming, but apparently the water's full of scorpion carp!$h","수영하고 싶었는데, 물에 전갈잉어가 많대!$h",content/DesertFestival_Leah_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0176,1_6_Strings:DesertFestival_Leo,I like this place. The weather reminds me of home.,여기 마음에 들어. 집 생각이 나는 날씨야.,content/DesertFestival_Leo,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0177,1_6_Strings:DesertFestival_Lewis,"After a long, dark winter, this festival is a good way to revive everyone.",길고 어두운 겨울이 지난 후에 이런 축제야말로 모두의 기운을 북돋아 줄 수 있지.,content/DesertFestival_Lewis,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0178,1_6_Strings:DesertFestival_Lewis2,"All of this is possible because you fixed the bus, @! I can't thank you enough.","이 모든 게 자네가 버스를 고쳐줘서 가능했다네, @! 정말 너무나 고맙네.",content/DesertFestival_Lewis2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0179,1_6_Strings:DesertFestival_Lewis3,"Remember, today is the last day of the festival. We'll be back next year, though.","기억하게, 오늘이 축제의 마지막 날일세. 내년에 다시 오겠지만.",content/DesertFestival_Lewis3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0180,1_6_Strings:DesertFestival_Linus,I hitched a ride underneath the bus.#$e#You can't find this Calico Desert flavor anywhere else. Heheh...$h,버스 밑에 매달려서 따라왔다네.#$e#그 다른 어디에서도 칼리코 사막의 맛은 찾을 수 없지. 헤헤...$h,content/DesertFestival_Linus,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0181,1_6_Strings:DesertFestival_Marnie,"Hey, @. I was just thinking about milk.#$e#Would you ever try camel's milk? I've heard it's salty.","저기, @. 내가 방금 우유에 대해서 생각을 해봤는데.#$e#낙타 우유를 마셔볼 생각은 있니? 듣기론 짠맛이 난다고 하더라.",content/DesertFestival_Marnie,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0182,1_6_Strings:DesertFestival_Maru,I'm impressed with how well-trained these little racers are!$h,"이 작은 선수들이 얼마나 훈련을 잘 받았는지 봐, 인상적이야!$h",content/DesertFestival_Maru,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0183,1_6_Strings:DesertFestival_Maru_marriage,How's the Calico Egg collection coming along? There's so many cool prizes!$h#$e#I know you'll do great.,칼리코 달걀 사냥은 잘 되어가고 있어? 멋진 상품이 너무 많아!$h#$e#너라면 잘해낼 거야.,content/DesertFestival_Maru_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0184,1_6_Strings:DesertFestival_NowOpen,The Desert Festival is now open!,사막 축제가 시작되었습니다!,content/DesertFestival_NowOpen,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0185,1_6_Strings:DesertFestival_Pam,"Hey, kid... You takin' the day off? It's nice to kick back every once in a while, isn't it?#$e#Yep... Even ol' Pam needs some sunlight on her skin now and then! Just wake me up before I turn into leather... Heheh.","어이, 꼬맹아... 오늘은 쉬는 거야? 가끔은 그냥 이렇게 쉬는 것도 좋지, 안 그래?#$e#그렇지... 이 늙은 팸도 가끔은 햇빛 좀 받고 해야지! 내가 말라서 가죽이 되어버리기 전에만 깨워줘... 헤헤",content/DesertFestival_Pam,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0186,1_6_Strings:DesertFestival_Penny,"Thousands of years ago, this place was the homeland of an ancient civilization. I wonder what they were like?","수천 년 전, 이곳에 고대 문명이 있었다고 들었어요. 어떤 사람들이었을까요?",content/DesertFestival_Penny,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0187,1_6_Strings:DesertFestival_Penny_marriage,"Hi, honey. I'm just browsing to see if there's anything nice for the house.$h","안녕, 여보. 집에 두면 괜찮을 물건이 있나 보고 있어요.$h",content/DesertFestival_Penny_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0188,1_6_Strings:DesertFestival_Pierre,"As a shopkeeper, I find it interesting to see how other people run their shops.#$e#*whisper* Don't tell Sandy, but my grocery selection blows hers out of the water!","상점을 운영하는 입장에선 다른 사람들의 운영법이 흥미롭네.#$e#*소곤* 샌디한테는 말하지 마, 하지만 내 식료품이 훨씬 더 다양하네!",content/DesertFestival_Pierre,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0189,1_6_Strings:DesertFestival_Robin,"Hey @. We're just chewing the fat over here. I don't see these guys very often, even though we're neighbors!","안녕 @. 우리 수다 떠는 중이야. 자주 못 보는 사이잖아, 이웃인데도 말이지!",content/DesertFestival_Robin,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0190,1_6_Strings:DesertFestival_Sam,"Hey, @. Check out my cactus. I'm trying to think of a name for him.#$e#Hmm... maybe '%name'?","야, @. 내 선인장 봐봐. 이름을 지어주려고.#$e#흠... 이건 어때: '%name'?",content/DesertFestival_Sam,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0191,1_6_Strings:DesertFestival_Sam_marriage,"Hey, don't forget to pick up our free cactus before the festival ends.#$b#Whatever it looks like, it's gonna be perfect in our house!$h","아, 축제 끝나기 전에 공짜 선인장 하나 고르는 거 잊지 말고.#$b#어떤 걸 고르건 우리 집에 딱 맞을 거야!$h",content/DesertFestival_Sam_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0192,1_6_Strings:DesertFestival_Sandy,This is probably the busiest time of the year for me! It's nice to be able to see everyone.,이 축제가 한 해 중 가장 바쁜 때인 것 같아! 다들 볼 수 있어서 너무 좋긴 하다.,content/DesertFestival_Sandy,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0193,1_6_Strings:DesertFestival_Sebastian,Hey. I'm just hanging out with this bird. She seems to like me.,안녕. 난 이 새랑 시간 좀 보내고 있어. 나를 좋아하는 것 같아.,content/DesertFestival_Sebastian,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0194,1_6_Strings:DesertFestival_Sebastian_marriage,"Hey, I'll just stay here and relax in the shade.#$e#You know how I am... I've always been more of a cave dweller.$h","음, 난 여기 그늘 쪽에 있을게.#$e#나 잘 알잖아... 항상 좀 동굴 같은 환경을 좋아했지.$h",content/DesertFestival_Sebastian_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0195,1_6_Strings:DesertFestival_Shane,I came here once when I was a kid... The only thing I remember is getting sick on the bus ride.,어렸을 때 한번 여기 왔었어... 버스에서 차멀미했던 기억만 있지만.,content/DesertFestival_Shane,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0196,1_6_Strings:DesertFestival_Shane_marriage,"Remind me to brush my teeth tonight... there's twelve unique soda flavors, and I'm on track to try them all.#$e#Mmm... cave carrot soda... *slurp*","나 오늘 밤에 양치하라고 꼭 말해줘... 여기 탄산음료가 12가지 맛이 있대, 하나씩 다 마셔보려고.#$e#음... 동굴 당근 소다... *후루룩*",content/DesertFestival_Shane_marriage,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0197,1_6_Strings:DesertFestival_Vincent,"Mom, I'm bored!","엄마, 심심해요!",content/DesertFestival_Vincent,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0198,1_6_Strings:DesertFestival_Willy,"Ah, nothing like the smell o' grilled shrimp on a warm day.","아, 따뜻한 날에 새우 익는 냄새만 한 게 없지.",content/DesertFestival_Willy,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0199,1_6_Strings:DriedFlowers_description,A bag of beautiful dried flowers.,아름다운 건조화 한 가방.,content/DriedFlowers_description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0200,1_6_Strings:DriedFlowers_name,Dried {0},말린 {0},content/DriedFlowers_name,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0201,1_6_Strings:DwarfStatue_0,+1 ore from ore nodes.,광석에서 광물 획득량 +1 .,content/DwarfStatue_0,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0202,1_6_Strings:DwarfStatue_1,Greater chance to find ladders and shafts.,사다리와 수직갱도를 발견할 확률이 높아집니다.,content/DwarfStatue_1,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0203,1_6_Strings:DwarfStatue_2,Greater chance to find coal.,석탄을 찾을 확률이 높아집니다.,content/DwarfStatue_2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0204,1_6_Strings:DwarfStatue_3,Bombs cannot damage you.,폭탄으로부터 피해를 입지 않습니다.,content/DwarfStatue_3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0205,1_6_Strings:DwarfStatue_4,Greater chance to find geodes.,정동석을 발견할 확률이 높아집니다.,content/DwarfStatue_4,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0206,1_6_Strings:DwarfStatue_source,Statue Of The Dwarf King,드워프 킹의 조각상,content/DwarfStatue_source,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0207,1_6_Strings:EggShop_Closed,The shop isn't open. Come back later.,영업 중이 아닙니다. 나중에 다시 와주세요.,content/EggShop_Closed,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0208,1_6_Strings:Explanation,Explanation,설명,content/Explanation,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0209,1_6_Strings:FairyBox_Description,Summons a fairy companion that heals you in combat situations.,전투 중 당신을 회복해 주는 요정 동료를 소환합니다.,content/FairyBox_Description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0210,1_6_Strings:FairyBox_Description2,Summons a level {0} fairy companion that heals you in combat situations.,전투 중 당신을 치유해 주는 레벨 {0} 요정 동료를 소환합니다.,content/FairyBox_Description2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0211,1_6_Strings:FairyBox_Name,Fairy Box,요정 상자,content/FairyBox_Name,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0212,1_6_Strings:Farm_Perfection_Description,"Waterfall Farm_Grandpa left you a magic lamp that grants a powerful bonus. However, you've also inherited his 1,000,000g debt to JojaBank, and must pay it off in seasonal installments...","폭포 농장_할아버지께서 강력한 보너스를 제공하는 요술 램프를 물려주셨습니다. 하지만 할아버지의 부채도 물려받아서 조자 은행에 계절 분할 납입으로 총 1,000,000 골드를 갚아야합니다...",content/Farm_Perfection_Description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0213,1_6_Strings:Farm_Ranching_Description,"Meadowlands Farm_It's not the best for growing crops, but there's a chewy blue grass that animals love. You start with two chickens.","목초지 농장_작물을 키우기 좋은 지형은 아니지만, 동물들이 좋아하는 푸른 잔디가 자랍니다. 닭 두 마리와 함께 시작합니다.",content/Farm_Ranching_Description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0214,1_6_Strings:Farming_Mastery,"You can now find Golden Animal Crackers, which permanently doubles a farm animal's produce. Doesn't work on pigs.",이제 황금 동물 과자를 발견할 수 있습니다. 황금 동물 과자는 영구적으로 가축의 생산량을 2배로 증가시킵니다. 돼지에게는 효과가 없습니다.,content/Farming_Mastery,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0215,1_6_Strings:FestivalTentWarning,Tomorrow is a festival.,내일 축제가 열립니다.,content/FestivalTentWarning,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0216,1_6_Strings:FinalPath,The final path:,마지막 길:,content/FinalPath,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0217,1_6_Strings:FirstCatch,First Catch!,처음 잡음!,content/FirstCatch,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0218,1_6_Strings:FishFrenzy_beach,{1} {0} frenzy has begun at the beach.,해변에 {0} 뗴가 나타났습니다.,content/FishFrenzy_beach,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0219,1_6_Strings:FishFrenzy_forest,{1} {0} frenzy has begun in Cindersap Forest.,잉걸불 수액 숲에 {0} 떼가 나타났습니다.,content/FishFrenzy_forest,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0220,1_6_Strings:FishFrenzy_mountain,{1} {0} frenzy has begun in the mountains.,산에 {0} 떼가 나타났습니다.,content/FishFrenzy_mountain,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0221,1_6_Strings:FishFrenzy_town,{1} {0} frenzy has begun in town.,마을에 {0} 떼가 나타났습니다.,content/FishFrenzy_town,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0222,1_6_Strings:FishingDerbyBooth_BagFull,Looks like your bag's full. Better make some room first.,가방이 가득 찬 모양이네요. 자리부터 만드시죠.,content/FishingDerbyBooth_BagFull,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0223,1_6_Strings:FishingDerbyBooth_Explanation,"During this event, Rainbow Trout have a chance of carrying a 'Golden Tag'. If you find one, turn it in here for a prize!",이벤트 중에 잡으시는 무지개 송어는 '황금 꼬리표'가 붙어있을 확률이 있습니다. 찾으시면 여기서 상품으로 바꿔가세요!,content/FishingDerbyBooth_Explanation,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0224,1_6_Strings:FishingDerbyBooth_Intro,Welcome to the Trout Derby! What can I do for you?,송어 시합에 오신 것을 환영합니다! 어떻게 도와드릴까요?,content/FishingDerbyBooth_Intro,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0225,1_6_Strings:FishingDerbyBooth_NoTags,Seems like you don't have any Golden Tags... better get fishing!,황금 꼬리표가 없으신 모양인데요... 낚시부터 해보세요!,content/FishingDerbyBooth_NoTags,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
