id,tag,source,human_translation,context,speaker,listener,notes
218,description,"Final blows with weapons or abilities while this weapon is stowed increase its handling, stability, and reload speed for a short duration.","이 무기를 보관한 상태에서 무기 또는 능력으로 결정타를 기록하면 잠시 동안 이 무기의 조작성, 안정성, 재장전 속도가 증가합니다.",DestinyInventoryItemDefinition,,,item | medium
219,name,Honor of Hercules Set,헤라클레스의 명예 세트,DestinyInventoryItemDefinition,,,item | short
220,description,Complete your item set!,아이템 세트를 완성하세요!,DestinyInventoryItemDefinition,,,item | short
221,name,Iron Banner Engram,강철 깃발 엔그램,DestinyInventoryItemDefinition,,,item | short
222,description,An engram with a Gear Tiered weapon. Gear Tier depends on reward score.,보상 점수에 따라 장비 단계가 결정되는 장비 단계 무기가 들어 있는 엔그램입니다.,DestinyInventoryItemDefinition,,,item | medium
223,name,Voltshot,볼트샷,DestinyInventoryItemDefinition,,,item | short
224,description,"Reloading this weapon after defeating a target overcharges this weapon for a short period of time, causing it to jolt on its next hit.",대상을 처치 후 이 무기를 재장전하면 짧은 시간 동안 무기를 과충전하여 다음 명중 시 충격이 발생합니다.,DestinyInventoryItemDefinition,,,item | medium
225,name,A Stride to the Edge,바깥을 향한 발걸음,DestinyInventoryItemDefinition,,,item | short
226,description,"Equip this ornament to change the appearance of Transversive Steps. Once you get an ornament, it's unlocked on all characters on your account.",이 장식을 장착하면 횡단 걸음 외형이 변합니다. 획득한 장식은 계정 내 모든 캐릭터에 사용할 수 있습니다.,DestinyInventoryItemDefinition,,,item | medium
227,name,Cursed Arcana Hood,저주받은 아르카나 두건,DestinyInventoryItemDefinition,,,item | short
228,name,Gjallarfoam,걀라르폼,DestinyInventoryItemDefinition,,,item | short
229,description,"Equip this weapon ornament to change the appearance of Gjallarhorn. Once you get an ornament, it's unlocked for all characters on your account.",걀라르호른에 장착하여 외양을 바꾸는 무기 장식입니다. 획득한 장식은 계정 내 모든 캐릭터에서 사용할 수 있습니다.,DestinyInventoryItemDefinition,,,item | medium
230,name,Defender of the Well,우물의 방어자,DestinyInventoryItemDefinition,,,item | short
231,description,"""We don't have the resources to repair the Well if it fails. We must defend it."" —Petra Venj","""우물이 오염되어도 복구할 자원이 없어요. 우물을 방어해야 해요."" - 페트라 벤지",DestinyInventoryItemDefinition,,,item | medium
232,name,Corrective // Protective,교정 // 보호,DestinyInventoryItemDefinition,,,item | short
233,name,Bitterpearl,차가운 진주,DestinyInventoryItemDefinition,,,item | short
234,name,Gambit Jadestone,갬빗 옥석,DestinyInventoryItemDefinition,,,item | short
235,name,Prodigal Cloak,탕아 망토,DestinyInventoryItemDefinition,,,item | short
236,name,Challenger XP,도전자 경험치,DestinyInventoryItemDefinition,,,item | short
237,name,Beat the Heat Animation Set,열기를 이겨 내세요 애니메이션 세트,DestinyInventoryItemDefinition,,,item | short
238,description,Contains 4 Solstice accessories. Pack price will be reduced for each item already owned.,지점 액세서리 4개가 들어 있습니다. 이미 소유한 품목이 있는 경우 팩 가격이 감소합니다.,DestinyInventoryItemDefinition,,,item | medium
239,name,Woven Firesmith Mask,화염장인 매듭 가면,DestinyInventoryItemDefinition,,,item | short
240,name,Arc Alignment,전기 정렬,DestinyInventoryItemDefinition,,,item | short
241,description,"Dealing Arc damage from any source aligns the battery's coils. When alignment is complete, [Alternate Weapon Action] to disengage the safety and enable hip-fired Starlight Beam to apply Jolt to any targets damaged for a short time. Aim down sights to slow the rate at which the battery drains.","전기 피해를 입히면 배터리의 코일이 정렬됩니다. 정렬이 완료되면, [대체 무기 동작] : 안전장치를 해제하고 별빛 광선을 비조준 발사하여 피해를 입은 대상에게 짧은 시간 동안 충격을 줍니다. 조준 사격하면 배터리가 소모되는 속도를 늦출 수 있습니다.",DestinyInventoryItemDefinition,,,item | long
242,name,Memory of Omar Agah,오마르 아가의 기억,DestinyInventoryItemDefinition,,,item | short
243,description,Defeat a powerful Hive Wizard with any Super ability.,아무 궁극기로나 강력한 군체 마법사를 처치하세요.,DestinyInventoryItemDefinition,,,item | medium
244,description,Find Omar Agah's lost throwing knives. Use Bows or Sniper Rifles to land precision final blows on powerful targets. Guardians in the Crucible or Gambit grant the most efficient progress.,오마르 아가의 잃어버린 수리검을 찾으세요. 활 또는 저격총을 사용하여 강력한 대상에게 정밀 결정타를 적중시키세요. 시련의 장 또는 갬빗에서 수호자를 적중시키면 진척도를 가장 빠르게 높일 수 있습니다.,DestinyInventoryItemDefinition,,,item | medium
245,description,Use the portal in Sanctuary to return Omar Agah's Brace of Knives to Eris Morn.,피난처에 있는 차원문을 사용하여 오마르 아가의 검 팔찌를 에리스 몬에게 돌려주세요.,DestinyInventoryItemDefinition,,,item | medium
246,description,Collect your reward from the chest in Eris Morn's overlook in the Enduring Abyss.,영속의 심연에 있는 에리스 몬의 전망대에 있는 상자에서 보상을 받으세요.,DestinyInventoryItemDefinition,,,item | medium
247,name,Timelost Spirit Bloom,잃어버린 시간 영혼 꽃,DestinyInventoryItemDefinition,,,item | short
248,description,Found in the Aionian Campus and the Caldera. May be exchanged for valuables and gear at the Altar of Relativity on Kepler.,아이오니언 캠퍼스와 칼데라에서 발견됩니다. 케플러에 있는 상대성의 제단에서 귀중품과 장비로 교환할 수 있습니다.,DestinyInventoryItemDefinition,,,item | medium
249,name,Distorted Solstice Engram,왜곡된 지점 엔그램,DestinyInventoryItemDefinition,,,item | short
250,description,An engram with a Tier 1 weapon or armor gear item.,1단계 무기 또는 방어구 장비 아이템이 있는 엔그램입니다.,DestinyInventoryItemDefinition,,,item | medium
251,name,Powerful Friends,강력한 친구,DestinyInventoryItemDefinition,,,item | short
252,name,The Inquisitor,심문관,DestinyInventoryItemDefinition,,,item | short
253,name,Dendrite Shimmer Warlock Set,아른거리는 수상돌기 워록 세트,DestinyInventoryItemDefinition,,,item | short
254,description,Contains a full set of Dawning 2021 Warlock universal ornaments. Set price reduced for each item you already own.,2021년 여명 워록 범용 장식 세트 전체가 들어 있습니다. 이미 소유한 품목이 있는 경우 세트 가격이 감소합니다.,DestinyInventoryItemDefinition,,,item | medium
255,name,The Dawn Comes to Eververse,에버버스에 여명이 오다,DestinyInventoryItemDefinition,,,item | short
256,description,Speak with Tess Everis in the Tower.,탑에서 테스 에버리스와 대화하세요.,DestinyInventoryItemDefinition,,,item | short
257,name,Terror's End,공포의 끝,DestinyInventoryItemDefinition,,,item | short
258,name,Deep in the Woods,깊은 숲,DestinyInventoryItemDefinition,,,item | short
259,name,Exotic Engram,경이 엔그램,DestinyInventoryItemDefinition,,,item | short
260,description,An engram with remarkable encoding markers. A Cryptarch would be thrilled to decode this to reveal its true nature.,탁월한 암호화 표시가 있는 엔그램입니다. 이것을 해독하여 그 본질을 드러내는 일을 맡으면 어느 해독가라도 설렐 겁니다.,DestinyInventoryItemDefinition,,,item | medium
261,name,The Bombardiers,척탄병,DestinyInventoryItemDefinition,,,item | short
262,name,Additional Bounties,추가 현상금,DestinyInventoryItemDefinition,,,item | short
263,description,Obtain an additional random bounty from Variks.,바릭스에게서 무작위 현상금을 추가로 획득하세요.,DestinyInventoryItemDefinition,,,item | short
264,name,Solstice Boots (Resplendent),지점의 장화(유광),DestinyInventoryItemDefinition,,,item | short
265,name,The Supremacy,패권,DestinyInventoryItemDefinition,,,item | short
266,name,The Stag,숫사슴,DestinyInventoryItemDefinition,,,item | short
267,name,Candescent Prism Boots,백열 프리즘 장화,DestinyInventoryItemDefinition,,,item | short
268,name,Steeplechase Vestment,장애물 경주 제의,DestinyInventoryItemDefinition,,,item | short
269,name,Legacy: Shadowkeep,유산: 섀도우킵,DestinyInventoryItemDefinition,,,item | short
270,description,Travel to the Moon and stave off the Hive resurgence alongside your fellow Guardians.,달로 가서 동료 수호자들과 함께 다시 기승을 부리는 군체를 막아 내세요.,DestinyInventoryItemDefinition,,,item | medium
271,name,Faculty Advisement,교직원 상담,DestinyInventoryItemDefinition,,,item | short
272,description,Return to Ikora to speak with her about everything that's happened.,아이코라에게 돌아가 일어난 모든 일에 관해 대화하세요.,DestinyInventoryItemDefinition,,,item | medium
273,name,A Forest of Red,붉은 숲,DestinyInventoryItemDefinition,,,item | short
274,description,"You can find this rare emblem only once you reach a certain score in the Nightfall ""Tree of Probabilities.""",'확률의 나무' 황혼전에서 일정한 점수에 도달해야만 받을 수 있는 희귀 문양입니다.,DestinyInventoryItemDefinition,,,item | medium
275,name,Valus Intrigue,발루스의 음모,DestinyInventoryItemDefinition,,,item | short
276,name,No More Lasers,레이저 금지,DestinyInventoryItemDefinition,,,item | short
277,name,Inside Line,인사이드 라인,DestinyInventoryItemDefinition,,,item | short
278,name,Adaptive Frame,적응형 프레임,DestinyInventoryItemDefinition,,,item | short
279,description,"A well-rounded grip, reliable and sturdy.","균형 잡힌 손잡이로, 안정적이고 튼튼합니다.",DestinyInventoryItemDefinition,,,item | short
280,name,Forerunner,선구자,DestinyInventoryItemDefinition,,,item | short
281,name,Anthemic Invocation Gloves,웅장한 탄원 장갑,DestinyInventoryItemDefinition,,,item | short
282,name,Resonant Fury Mark,공명하는 분노 표식,DestinyInventoryItemDefinition,,,item | short
283,name,Lion's Pride,사자의 긍지,DestinyInventoryItemDefinition,,,item | short
284,name,Hazard Pay,위험 수당,DestinyInventoryItemDefinition,,,item | short
285,name,Reef Regalia,리프 예복,DestinyInventoryItemDefinition,,,item | short
286,name,Wayfarer's Guise,나그네의 위장,DestinyInventoryItemDefinition,,,item | short
287,name,Verdant Infinity Shell,무한한 신록 의체,DestinyInventoryItemDefinition,,,item | short
288,name,Trostland Courier Shell,트로스트랜드 운반책 의체,DestinyInventoryItemDefinition,,,item | short
289,name,Prophet Shell,예언자 의체,DestinyInventoryItemDefinition,,,item | short
290,name,Hatchling Shell,부화 의체,DestinyInventoryItemDefinition,,,item | short
291,name,Revelry Masquerade Shell,향연 가면무도회 의체,DestinyInventoryItemDefinition,,,item | short
292,name,Revelry Courier Shell,향연 운반책 의체,DestinyInventoryItemDefinition,,,item | short
293,name,Aisha's Embrace,아이샤의 포용,DestinyInventoryItemDefinition,,,item | short
294,name,You Pass,합격,DestinyInventoryItemDefinition,,,item | short
295,name,The Return,귀환,DestinyInventoryItemDefinition,,,item | short
296,description,Search the Cosmodrome for Peach.,발사 기지에서 피치를 찾으세요.,DestinyInventoryItemDefinition,,,item | short
297,name,Roast 'Em,통구이,DestinyInventoryItemDefinition,,,item | short
298,description,"Your Proximity Knife scorches targets it damages with its explosions, or ignites targets on final blow. After throwing a Proximity Knife, you gain increased melee regeneration until the knife explodes.","근접 칼이 폭발로 피해를 주는 대상을 소각하거나, 결정타를 기록한 대상을 점화합니다. 근접 칼을 투척한 후에는 칼이 폭발할 때까지 근접 공격 충전 속도가 증가합니다.",DestinyInventoryItemDefinition,,,item | long
299,name,Dendrite Shimmer Gauntlets,아른거리는 수상돌기 건틀릿,DestinyInventoryItemDefinition,,,item | short
